19000128,売上,商品C,912,273600
19000128,売上,商品D,537,187950
19000128,売上,商品E,597,268650
19000128,売上,商品F,736,441600
19000128,費用,交通費,,17068
19000128,費用,商品A,817,245100
19000128,費用,商品B,983,294900
19000128,費用,商品C,912,228000
19000128,費用,商品D,537,134250
19000128,費用,商品E,597,238800
19000128,費用,商品F,736,294400
19000129,売上,商品A,600,300000
19000129,売上,商品B,888,355200
19000129,売上,商品C,651,195300
19000129,売上,商品D,938,328300
19000129,売上,商品E,931,418950
19000129,売上,商品F,992,595200
19000129,費用,交通費,,18538
19000129,費用,商品A,600,180000
19000129,費用,商品B,888,266400
19000129,費用,商品C,651,162750
19000129,費用,商品D,938,234500
19000129,費用,商品E,931,372400
19000129,費用,商品F,992,396800
19000130,売上,商品A,917,458500
19000130,売上,商品B,603,241200
19000130,売上,商品C,757,227100
19000130,売上,商品D,707,247450
19000130,売上,商品E,658,296100
19000130,売上,商品F,544,326400
19000130,費用,交通費,,19528
19000130,費用,商品A,917,275100
19000130,費用,商品B,603,180900
19000130,費用,商品C,757,189250
19000130,費用,商品D,707,176750
19000130,費用,商品E,658,263200
19000130,費用,商品F,544,217600
19000131,売上,商品A,745,372500
19000131,売上,商品B,853,341200
19000131,売上,商品C,526,157800
19000131,売上,商品D,826,289100
19000131,売上,商品E,792,356400
19000131,売上,商品F,893,535800
19000131,費用,交通費,,13570
19000131,費用,商品A,745,223500
19000131,費用,商品B,853,255900
19000131,費用,商品C,526,131500
19000131,費用,商品D,826,206500
19000131,費用,商品E,792,316800
19000131,費用,商品F,893,357200
